recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob
andys spicy green chile pork,0.129230769,0.15,0.186666667,0.0975,0.072571429,0.018,0.016,0.318,0.095238095,0.0426,0.05,0.016,0.055555556,0,0.3,0,0.0375,0.02,169,-0.084532921,4.515187175,0.980458607
angel chicken,0.413846154,0.4,0.353333333,0.237916667,0.133428571,0.109,0.084,0.57,0.095238095,0.0528,0.033333333,0.063,0.166666667,0,0.55,0,0.0475,0.1,497,-3.422661097,4.146933465,0.847920852
angel hair pasta with garlic shrimp and broccoli,0.306153846,0.5,0.483333333,0.474583333,0.128571429,0.131666667,0.136,0.486,0.126984127,0.3258,0.416666667,0.195,0.222222222,0,0.45,0,0.1075,0.1925,431,-6.147376504,4.662447353,0.871488517
angel hair pasta with peppers and chicken,0.043076923,0,0.033333333,0.15375,0.054571429,0.127333333,0.144,0.214,0.095238095,0.1392,0.483333333,0.018,0.111111111,0,0.15,0,0.0125,0.13,222,-0.112569696,3.935728445,0.99965081
angelas alfredo ham,0.824615385,1.1,0.273333333,0.79875,0.098571429,0.143,0.244,0.43,0.412698413,0.5134,0.35,0.092,0.166666667,0,0.25,0,0.0825,0.17,716,-15.28312769,3.9564891,0.999890766
angelas awesome enchiladas,0.558461538,0.9,0.42,0.735,0.168571429,0.175,0.176,0.844,0.126984127,0.2844,0.316666667,0.509,0.277777778,0,0.9,0,0.17,0.2875,709,-10.03890351,4.219342299,0.975437772
angelas easy breaded chicken,0.329230769,0.2,0.23,0.876666667,0.133714286,0.157333333,0.116,0.718,0.253968254,0.0324,0.05,0.126,0.222222222,0,1.2,0.5,0.155,0.19,531,-4.780345245,4.309184798,0.772186554
angels chunky chicken salad,0.318461538,0.2,0.163333333,0.424166667,0.092571429,0.024333333,0.072,0.326,0.095238095,0.0994,0.083333333,0.037,0.055555556,0,0.4,0,0.0675,0.0575,280,-3.059818539,4.29999072,0.505699151
angels pasta,0.101538462,0.1,0.04,0.084166667,0.122571429,0.089666667,0.12,0.202,0.126984127,0.155,0.333333333,0.166,0.111111111,0,0.2,0,0.07,0.12,201,-0.5315779,4.174926679,0.830450178
annas amazing easy pleasy meatballs over buttered noodles,0.392307692,0.55,0.493333333,0.24625,0.13,0.128333333,0.08,0.518,0.063492063,0.0672,0.016666667,0.094,0.222222222,0,0.2,0,0.1225,0.2525,492,-5.308268336,4.28454432,0.866077878
anns sisters meatloaf recipe,0.435384615,0.5,0.523333333,0.485,0.146,0.090333333,0.08,0.698,0.19047619,0.0616,0.083333333,0.086,0.277777778,0,0.7,0,0.105,0.13,510,-5.176847808,4.221752799,0.782910194
anthonys lime chicken with pasta,0.650769231,0.6,0.533333333,0.215,0.184,0.245333333,0.184,0.89,0.222222222,0.225,0.25,0.193,0.333333333,0,1.25,0.5,0.2125,0.4625,864,-5.22541,4.541651943,0.984020626
antipasto salad ii,0.447692308,0.65,0.246666667,0.742916667,0.092285714,0.026333333,0.064,0.434,0.063492063,0.1794,0.266666667,0.323,0.055555556,0,0.25,0,0.0575,0.03,383,-8.679306272,4.479498747,0.65822964
aphrodisiac tagliatelle with blue cheese sauce,0.613846154,1,0.333333333,0.155,0.076,0.304,0.228,0.47,0.063492063,0.2216,0.016666667,0.204,0.222222222,0.666666667,0.5,0,0.165,0.5525,819,-10.80291561,3.87255443,0.994757146
apple and bacon grilled cheese,0.295384615,0.45,0.166666667,0.365,0.084857143,0.117,0.176,0.368,0.222222222,0.0652,0.05,0.23,0.111111111,0,0.35,0,0.11,0.095,381,-5.253720243,3.91010218,0.961992171
